Date,Mkt-RF,SMB,HML,RMW,CMA,RF
202502,2.68,-2.22,4.25,-1.24,1,0.33
202503,-0.15,1.51,5.54,-1.71,3.7,0.34
202504,3.97,2,-0.77,-1.06,-0.66,0.35
202505,4.9,1.12,1.42,-0.04,-1.11,0.38
202506,2.72,2.69,0.8,-0.75,0.05,0.34
202507,-2.6,0.61,2.68,-1.52,2.46,0.35
202508,3.08,-0.87,1.91,0.68,1.02,0.38
202509,1.22,-1.27,0.47,0.39,-1.38,0.33
202510,0.43,-1.87,0.02,-1.02,0.22,0.37
202511,0.72,-1.14,2.42,0.35,1.12,0.3
202512,3.57,-0.02,3.24,0.54,0.77,0.34
202601,3.29,0.71,4.15,0.68,-0.07,0.3
