"","n","Total Return","Annualised Return","Annualised Risk","Sharpe Ratio","Sortino Ratio"
"Agri-food Composite",40,123.718506578054,0.0726889172115497,0.12781576574613,-4.524967574977,-8.12604525428909
"Inputs",6,216.230207882425,0.126597703455333,0.239199618182486,-2.31546322354832,-4.2364890368181
"Processing",24,65.0103266077036,0.0382814148283561,0.134238886947684,-4.43450749806579,-7.02436961787832
"Distribution",10,169.491958133698,0.0994093788142303,0.147094223102314,-3.83993340166305,-7.38775656531024
"Market",40,123.718506578054,0.0726889172115497,0.12781576574613,-4.524967574977,-8.12604525428909
